,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Kununurra,-15.7667,128.7333,77.0,100,100,3.44,1611432606
1,Punta Arenas,-53.15,-70.9167,59.0,47,0,29.93,1611432607
2,Busselton,-33.65,115.3333,61.0,88,38,4.47,1611432311
3,Antofagasta,-23.65,-70.4,73.99,73,0,13.8,1611432363
4,Chara,56.9064,118.2631,-25.17,81,44,0.13,1611432361
5,Kenai,60.5544,-151.2583,36.0,75,90,21.85,1611432607
6,Bilma,18.6853,12.9164,61.65,26,0,6.73,1611432607
7,São Filipe,14.8961,-24.4956,74.07,68,28,7.09,1611432607
8,Tshikapa,-6.4167,20.8,72.54,90,100,2.66,1611432607
9,New Norfolk,-42.7826,147.0587,57.0,75,5,2.53,1611432607
10,Cidreira,-30.1811,-50.2056,78.8,76,0,15.26,1611432607
11,Vidim,56.4088,103.1106,-7.65,90,100,2.48,1611432608
12,Hermanus,-34.4187,19.2345,62.01,95,99,3.0,1611432608
13,Straumen,63.8709,11.2999,32.0,93,75,5.44,1611432608
14,Saint-Joseph,-21.3667,55.6167,80.6,74,0,5.75,1611432608
15,Hobart,-42.8794,147.3294,57.0,94,40,5.75,1611432479
16,Nizwá,22.9333,57.5333,55.53,58,0,2.21,1611432375
17,Vaini,-21.2,-175.2,78.8,94,75,4.61,1611432311
18,Dikson,73.5069,80.5464,-16.96,90,95,6.08,1611432608
19,Airai,-8.9266,125.4092,61.86,100,93,1.86,1611432609
20,Ushuaia,-54.8,-68.3,60.8,41,75,10.58,1611432239
21,Ojinaga,29.5667,-104.4167,66.2,42,1,6.53,1611432609
22,Tazovsky,67.4667,78.7,-42.14,77,0,3.47,1611432609
23,Souillac,-20.5167,57.5167,78.8,83,40,5.75,1611432609
24,Qaanaaq,77.484,-69.3632,17.85,79,100,3.67,1611432609
25,Severo-Kuril'sk,50.6789,156.125,22.26,95,88,34.27,1611432609
26,Dimbokro,6.6451,-4.7048,81.88,19,100,1.77,1611432609
27,Mataura,-46.1927,168.8643,54.0,86,100,7.0,1611432609
28,Grand Gaube,-20.0064,57.6608,79.0,77,0,1.99,1611432610
29,Fare,-16.7,-151.0167,80.92,71,0,13.22,1611432610
30,Batemans Bay,-35.7167,150.1833,66.99,95,10,1.01,1611432610
31,Aklavik,68.2191,-135.0107,-0.4,85,75,8.05,1611432610
32,Ixtapa,20.7,-105.2,75.2,73,1,10.36,1611432333
33,Omboué,-1.5746,9.2618,78.03,83,100,3.53,1611432610
34,Uray,60.1247,64.7758,-35.52,83,0,2.53,1611432610
35,Seymchan,62.8833,152.4333,-29.42,83,100,2.48,1611432610
36,Atuona,-9.8,-139.0333,78.12,79,2,18.39,1611432610
37,Jamestown,42.097,-79.2353,21.99,73,90,16.11,1611432611
38,Iqaluit,63.7506,-68.5145,14.0,85,20,8.05,1611432347
39,Cabo San Lucas,22.8909,-109.9124,73.4,56,40,11.5,1611432352
40,Ilulissat,69.2167,-51.1,19.4,38,20,6.91,1611432611
41,Aykhal,66.0,111.5,-38.4,79,55,3.44,1611432611
42,Albany,42.6001,-73.9662,24.01,44,3,7.0,1611432611
43,Hithadhoo,-0.6,73.0833,82.18,69,100,5.1,1611432314
44,Padang,-0.9492,100.3543,75.2,88,75,1.14,1611432611
45,Butaritari,3.0707,172.7902,79.68,80,94,11.59,1611432611
46,Dukat,62.55,155.55,-34.94,81,100,3.98,1611432371
47,Umm Kaddadah,13.6017,26.6876,68.2,24,43,13.2,1611432611
48,Yellowknife,62.456,-114.3525,-20.0,69,20,5.75,1611432589
49,Krasnoarmeysk,51.0239,45.6969,34.0,95,100,4.0,1611432612
50,Bariloche,-41.1456,-71.3082,90.0,18,0,19.57,1611432612
51,Rikitea,-23.1203,-134.9692,78.84,67,0,10.31,1611432612
52,Lethem,3.3803,-59.7968,90.43,47,24,13.18,1611432612
53,Norman Wells,65.282,-126.8329,-18.4,76,75,5.75,1611432612
54,Bluff,-46.6,168.3333,54.0,86,67,7.0,1611432612
55,Atar,20.5169,-13.0499,69.64,19,99,8.43,1611432612
56,Narsaq,60.9167,-46.05,26.6,33,1,23.02,1611432613
57,Saint Anthony,45.0205,-93.218,21.2,68,90,13.8,1611432497
58,Ahipara,-35.1667,173.1667,66.47,71,34,8.77,1611432324
59,Upernavik,72.7868,-56.1549,21.18,79,100,5.5,1611432322
60,Bilibino,68.0546,166.4372,-24.88,82,100,2.8,1611432613
61,Aksu,41.1231,80.2644,20.64,88,0,4.21,1611432375
62,Mahébourg,-20.4081,57.7,78.8,83,40,5.75,1611432613
63,Araouane,18.9048,-3.5265,68.41,17,0,10.02,1611432613
64,Ponta Delgada,37.7333,-25.6667,63.0,94,75,9.22,1611432613
65,Sitka,57.0531,-135.33,37.4,93,90,7.52,1611432613
66,Digora,43.1581,44.1569,30.2,93,0,4.47,1611432614
67,Barrow,71.2906,-156.7887,6.8,78,1,17.27,1611432614
68,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,1,16.11,1611432614
69,Fort Nelson,58.8053,-122.7002,-0.4,78,90,5.75,1611432614
70,San Patricio,28.017,-97.5169,69.8,88,90,14.97,1611432614
71,Hilo,19.7297,-155.09,75.2,69,90,4.21,1611432439
72,Jacareacanga,-6.2222,-57.7528,85.12,78,59,2.8,1611432614
73,Kāvali,14.9167,79.9833,72.09,77,0,7.11,1611432614
74,Chokurdakh,70.6333,147.9167,-37.21,83,91,6.06,1611432335
75,Port Elizabeth,-33.918,25.5701,68.0,88,40,23.02,1611432615
76,Bonthe,7.5264,-12.505,78.96,79,1,10.18,1611432615
77,Cape Town,-33.9258,18.4232,68.0,94,75,14.97,1611432432
78,Tiksi,71.6872,128.8694,-42.34,79,35,5.32,1611432615
79,Namie,37.4833,141.0,37.99,73,100,13.33,1611432380
80,Kampong Chhnang,12.1667,104.55,75.31,83,59,3.44,1611432615
81,Hasaki,35.7333,140.8333,39.2,100,75,17.27,1611432557
82,Port Hedland,-20.3167,118.5667,82.4,65,5,12.66,1611432486
83,Chauk,20.8833,94.8167,62.22,53,0,1.9,1611432616
84,Tasiilaq,65.6145,-37.6368,14.0,57,12,4.61,1611432616
85,Aitape,-3.1374,142.3475,78.48,80,91,3.96,1611432616
86,Tūkrah,32.5341,20.5791,55.71,47,0,17.25,1611432616
87,Ponta do Sol,32.6667,-17.1,61.0,78,100,1.99,1611432616
88,Tilichiki,60.4667,166.1,-10.93,90,1,7.7,1611432616
89,Saint Paul Harbor,57.79,-152.4072,41.0,52,1,11.5,1611432617
90,Beringovskiy,63.05,179.3167,-9.63,88,1,2.95,1611432617
91,Kanchipuram,12.8333,79.7167,75.2,88,20,2.3,1611432617
92,Kapaa,22.0752,-159.319,72.0,94,90,20.71,1611432617
93,Constitución,-35.3333,-72.4167,67.19,70,14,7.11,1611432337
94,Lockport,41.5895,-88.0578,32.0,54,1,5.75,1611432617
95,Dickinson,29.4608,-95.0513,63.0,88,90,10.36,1611432617
96,Kalmunai,7.4167,81.8167,75.18,79,0,5.88,1611432617
97,Chui,-33.6971,-53.4616,79.65,67,1,12.71,1611432617
98,Nikolskoye,59.7035,30.7861,33.8,86,90,6.71,1611432317
99,Avarua,-21.2078,-159.775,84.2,65,46,8.05,1611432618
100,Chu,43.5983,73.7614,19.0,55,100,4.0,1611432618
101,Paamiut,61.994,-49.6678,21.54,81,0,6.87,1611432618
102,Cabedelo,-6.9811,-34.8339,82.4,69,75,16.11,1611432618
103,Morondava,-20.2833,44.2833,83.84,79,70,17.07,1611432374
104,Riachão das Neves,-11.7461,-44.91,88.95,38,30,4.81,1611432618
105,Mehamn,71.0357,27.8492,21.38,94,100,27.56,1611432618
106,Hambantota,6.1241,81.1185,75.2,100,0,8.05,1611432369
107,Hamilton,39.1834,-84.5333,33.8,40,1,4.61,1611432618
108,Saint-Philippe,-21.3585,55.7679,80.6,74,0,5.75,1611432619
109,Praia da Vitória,38.7333,-27.0667,62.6,88,75,21.41,1611432410
110,Leshukonskoye,64.8989,45.7622,1.42,93,100,11.86,1611432619
111,Thompson,55.7435,-97.8558,-11.2,77,75,10.36,1611432344
112,Umluj,25.0213,37.2685,71.91,45,0,10.63,1611432619
113,Fairbanks,64.8378,-147.7164,21.99,78,75,2.44,1611432513
114,Assiut,27.181,31.1837,53.6,62,0,6.78,1611432357
115,Rocha,-34.4833,-54.3333,86.7,49,3,15.12,1611432620
116,Tomari,47.7658,142.0683,27.0,93,80,20.49,1611432620
117,Ancud,-41.8697,-73.8203,66.2,63,0,9.22,1611432620
118,Poum,-20.2333,164.0167,79.5,78,100,11.34,1611432620
119,Inuvik,68.3499,-133.7218,-11.2,77,29,8.05,1611432620
120,Yar-Sale,66.8333,70.8333,-40.0,81,16,2.98,1611432620
121,Vostok,46.4856,135.8833,3.43,87,0,5.32,1611432620
122,Mabaruma,8.2,-59.7833,81.86,68,87,7.7,1611432620
123,Kashgar,39.4547,75.9797,30.2,31,0,6.71,1611432620
124,Ondangwa,-17.9167,15.95,78.8,57,100,2.3,1611432620
125,Aktash,50.3,87.7333,-11.65,85,100,2.39,1611432621
126,East London,-33.0153,27.9116,75.87,77,63,23.4,1611432621
127,Tura,25.5198,90.2201,57.0,65,100,2.06,1611432621
128,Geraldton,-28.7667,114.6,71.6,68,75,10.36,1611432621
129,Honiara,-9.4333,159.95,77.13,75,100,0.6,1611432621
130,Guadix,37.2993,-3.1392,50.0,87,58,17.0,1611432621
131,Darapidap,17.2131,120.4114,75.72,79,87,5.03,1611432621
132,Vila Velha,-20.3297,-40.2925,82.4,74,20,10.36,1611432622
133,Saint George,37.1041,-113.5841,50.0,43,20,5.75,1611432439
134,Sochi,43.6,39.7303,39.2,75,9,11.18,1611432622
135,Charagua,-19.8,-63.2167,89.6,43,75,6.89,1611432622
136,Sāvantvādi,15.9,73.8167,77.0,94,0,2.3,1611432622
137,Yenagoa,4.9247,6.2642,79.34,77,100,6.46,1611432622
138,São João da Barra,-21.6403,-41.0511,84.2,54,20,16.11,1611432622
139,Tame,6.461,-71.73,89.56,40,100,9.6,1611432622
140,Itarema,-2.9248,-39.9167,82.44,70,94,14.2,1611432623
141,Bordighera,43.7806,7.6645,50.0,71,40,14.97,1611432623
142,Skibbereen,51.55,-9.2667,35.6,100,90,5.75,1611432623
143,Saskylakh,71.9167,114.0833,-30.62,82,84,5.93,1611432623
144,Meulaboh,4.1363,96.1285,75.94,89,67,3.53,1611432623
145,Kaitangata,-46.2817,169.8464,62.01,45,91,15.01,1611432623
146,Oliver,49.1831,-119.5524,30.2,55,0,4.61,1611432623
147,Cervo,43.6702,-7.4101,55.0,86,100,11.99,1611432623
148,Matadi,-5.8167,13.45,76.08,84,100,1.59,1611432623
149,Charter Township of Clinton,42.587,-82.9199,28.0,52,0,1.01,1611432623
150,Senador José Porfírio,-2.5908,-51.9542,88.52,55,10,4.94,1611432623
151,Karasburg,-28.0167,18.75,80.02,37,54,17.31,1611432624
152,Mindelo,16.8901,-24.9804,71.6,73,40,23.02,1611432624
153,Yizheng,24.6706,103.4296,42.76,97,1,5.7,1611432624
154,Palmer,42.1584,-72.3287,26.01,46,0,5.01,1611432364
155,Nueva Gerona,21.8833,-82.8,76.46,67,6,7.38,1611432624
156,Port Alfred,-33.5906,26.891,69.01,94,89,5.01,1611432624
157,Khatanga,71.9667,102.5,-27.29,84,100,11.39,1611432624
158,Bredasdorp,-34.5322,20.0403,64.4,88,100,17.27,1611432625
159,Acarí,-15.4311,-74.6158,82.29,48,1,12.1,1611432625
160,Yulara,-25.2406,130.9889,73.4,94,40,9.22,1611432625
161,Tuatapere,-46.1333,167.6833,54.0,86,99,7.0,1611432625
162,Lompoc,34.6391,-120.4579,51.8,81,90,5.75,1611432625
